"Sample IDs","MPR","MS","TtT","RAF"
"1399_2024.25.MN.079_3",1.17823639774859,0.725453466666667,48,0.0208333333333333
"1400_2024.25.MN.080_3",1.12753036437247,0.337381866666667,48,0.0208333333333333
"1401_2024.25.MN.081_3",1.20659722222222,0.8842592,48,0.0208333333333333
"1402_2024.25.MN.082_3",1.19681908548708,0.6706428,48,0.0208333333333333
"1403_2024.25.MN.083_3",1.20879120879121,0.888888933333333,48,0.0208333333333333
"1404_2024.25.MN.084_3",1.17328519855596,0.859205733333333,48,0.0208333333333333
"1405_2024.25.MN.085_3",18.3339694656489,7.1043256,23.6397459165154,0.0423016390925492
"1406_2024.25.MN.086_3",1.19272727272727,0.8484848,48,0.0208333333333333
"1407_2024.25.MN.087_3",1.13701431492843,0.738922933333333,48,0.0208333333333333
"1408_2024.25.MN.088_3",1.53803339517625,0.714904133333333,48,0.0208333333333333
"1409_2024.25.MN.089_3",1.16829745596869,0.858447466666667,48,0.0208333333333333
"1410_2024.25.MN.090_3",1.12326043737575,0.662690533333333,48,0.0208333333333333
